Lead ID,Name,Role,Industry,Posts Engaged,Connections,Engagement Rate,Recent Activity
1287,Claire Hemmings,Customer Success Specialist,Pharmaceuticals,22.5,1020,0.13,Active
1288,Edward Bailey,Casting Director,Corporate training,17.7,966,0.42,Active
1289,Jennifer Simpson,Director of Content Marketing,Customer service,18.6,1300,0.23,Active
1290,John Johnston,Barback,Finance,8.3,1743,0.26,Inactive
1291,Dan Johnston,Grocery Clerk,Real estate,8.4,1399,0.57,Inactive
1292,Christian Hart,Editor,Design,22.5,1227,0.38,Active
1293,Andrew Quinn,Drafter,Engineering,20.7,1236,0.26,Inactive
1294,Sean Wallace,Marketing Director,Pharmaceuticals,21.7,176,0.31,Active
1295,Jan Reid,IT Operations Manager,Corporate training,12.6,892,0.54,Inactive
1296,Wendy Butler,Inside Sales Manager,Engineering,14.3,589,0.12,Active
1297,Adrian Payne,Biomedical Engineer,Pharmaceuticals,23.4,1506,0.24,Inactive
1298,Maria Morrison,Android Engineer,Public Relations (PR),19.1,520,0.51,Inactive
1299,Jonathan Johnston,Order Picker,Public Relations (PR),21.9,970,0.21,Active
1300,Boris Mathis,Analytics Manager,Customer service,10.8,1432,0.43,Active
1301,Pippa MacLeod,Purchasing Assistant,Human Resources (HR),15.3,1021,0.46,Active
1302,Eric Young,Quality Manager,Pharmaceuticals,20.4,239,0.26,Inactive
1303,Sebastian McGrath,Web Programmer,Real estate,22.5,751,0.48,Inactive
1304,Rebecca Ball,Patient Service Representative,Public Relations (PR),19.1,1755,0.49,Inactive
1305,Leah Butler,Shift supervisor,Retail,20.9,484,0.23,Active
1306,Evan Robertson,Hospital Administration Manager,Hospitality,16.8,327,0.4,Inactive
1307,Anna Welch,Accounting Intern,Logistics,9.9,1840,0.54,Inactive
1308,Jasmine Rees,Senior Financial Analyst,Human Resources (HR),17.8,555,0.28,Active
1309,Yvonne Buckland,Nanny,Real estate,18.3,635,0.29,Active
1310,Sarah Wilson,Design Engineer,Healthcare,24.7,1955,0.59,Inactive
1311,Samantha Morgan,Estimator,Media,9.0,411,0.16,Active
1312,Robert Mathis,Lead Teacher,Public Relations (PR),7.1,400,0.12,Inactive
1313,Anna Burgess,Food Service Worker,Facilities,18.0,1675,0.52,Active
1314,Lisa Skinner,Creative Director,Marketing,7.2,1013,0.59,Active
1315,Jasmine Hudson,Chief Information Security Officer,Design,10.2,1970,0.5,Active
1316,Luke Nolan,Electrician,Accounting,21.9,1096,0.4,Inactive
1317,Christopher Scott,Site Reliability Engineer,Marketing,7.8,193,0.55,Active
1318,Chloe Terry,Civil Engineer,Real estate,11.6,1056,0.6,Active
1319,Audrey Tucker,HRIS Analyst,Legal,7.9,239,0.24,Inactive
1320,Pippa Ogden,Lead Data Scientist,IT and Development,19.2,222,0.16,Inactive
1321,Thomas Oliver,Illustrator,Media,5.1,1325,0.45,Inactive
1322,Carl Rutherford,HR Analyst,Law enforcement / Security,5.7,1336,0.45,Inactive
1323,Rachel Buckland,CRM Administrator,Media,16.0,1447,0.34,Active
1324,Piers Blake,Design Engineer,Finance,24.6,575,0.3,Active
1325,Una Dyer,iOS Engineer,Customer service,17.7,695,0.57,Active
1326,Paul Edmunds,Assistant Director,Real estate,12.9,788,0.14,Inactive
1327,Caroline Fisher,Senior Copywriter,Travel & Tourism,5.9,1894,0.48,Active
1328,Kylie King,Material Handler,Sales,18.6,743,0.27,Active
1329,Joseph Coleman,Head of Operations,Media,23.1,466,0.31,Active
1330,Dorothy McLean,Zoologist,Real estate,5.3,379,0.48,Active
1331,Stephanie Carr,Mason,Engineering,8.1,1346,0.38,Inactive
1332,Rachel Ross,BI Consultant,Customer service,17.2,451,0.54,Active
1333,Tim Burgess,Help Desk Specialist,Customer service,13.5,573,0.31,Active
1334,Gabrielle Sharp,ICU Nurse,Real estate,9.6,592,0.53,Active
1335,Katherine Henderson,Inside Sales Manager,Production,9.6,1758,0.42,Active
1336,Joshua Parsons,Daycare Teacher,Construction,13.1,1772,0.57,Inactive
1337,Christian Baker,Fashion Copywriter,Human Resources (HR),23.3,1900,0.56,Active
1338,Irene Howard,Production Coordinator,Engineering,12.5,236,0.3,Inactive
1339,Andrea Rees,Senior Copywriter,Real estate,25.0,1092,0.54,Active
1340,Deirdre Greene,Loan Processor,Corporate training,9.7,1679,0.56,Inactive
1341,Chloe Berry,Law Clerk,Real estate,22.3,1024,0.36,Inactive
1342,Owen Blake,Copy Editor,Construction,13.2,537,0.46,Active
1343,Donna Knox,Bursar,Media,7.6,721,0.13,Active
1344,William Tucker,Brand Ambassador,Educator & Education,14.7,1054,0.43,Active
1345,Amelia Dyer,Frontend Team Lead,Marketing,13.1,1859,0.4,Inactive
1346,Joanne Cornish,Retail Stylist,Facilities,21.4,747,0.26,Active
1347,Tracey Sutherland,Junior Legal Counsel,Construction,14.0,722,0.2,Inactive
1348,Gabrielle Harris,Financial Planner,Travel & Tourism,12.7,818,0.46,Inactive
1349,Deirdre Lewis,Dermatologist,Legal,5.1,1086,0.5,Active
1350,Richard White,Community Liaison,Media,13.4,1378,0.52,Active
1351,Lillian Carr,Financial Consultant,Production,22.5,1359,0.58,Inactive
1352,Carolyn Anderson,Software Architect,Accounting,16.0,972,0.18,Active
1353,Robert Paterson,Escrow Assistant,Pharmaceuticals,22.5,1645,0.23,Inactive
1354,Sally Hardacre,Bridal Stylist,Engineering,5.9,1006,0.51,Inactive
1355,Adrian McGrath,Front-end Developer,IT and Development,8.1,949,0.21,Active
1356,Carl Kerr,Data Engineer,Logistics,5.3,1485,0.19,Active
1357,Olivia Wilkins,Retail Sales Representative,Construction,23.5,1678,0.4,Inactive
1358,Virginia Grant,Sales Advisor,Retail,20.2,106,0.32,Inactive
1359,Warren Blake,ER Nurse,Healthcare,22.1,315,0.55,Active
1360,Emma Hart,Billing Manager,Healthcare,12.0,1064,0.54,Inactive
1361,Felicity Johnston,Back-end Developer,Administrative,18.5,1034,0.57,Active
1362,Andrew Fraser,ESL teacher,Healthcare,20.5,1277,0.22,Inactive
1363,Richard Cornish,Payroll Manager,Engineering,19.2,698,0.37,Active
1364,Donna Hudson,Administrative Assistant,Legal,8.3,247,0.15,Inactive
1365,Diana Nolan,Marketing Officer,Retail,17.9,576,0.42,Active
1366,Kimberly Greene,Photoshoot Stylist,Public Relations (PR),21.2,1320,0.24,Active
1367,Nicola Sanderson,Proposal Manager,Production,15.8,1014,0.31,Active
1368,Lily Hodges,Territory Sales Representative,Human Resources (HR),12.1,1554,0.51,Inactive
1369,Felicity Bailey,Sales Manager,Accounting,20.9,731,0.32,Inactive
1370,Bernadette Poole,Driver,Sales,17.7,1875,0.45,Inactive
1371,Zoe Gray,Host or Hostess,Customer service,13.1,1760,0.36,Inactive
1372,Samantha Clark,Consultant,Administrative,17.9,261,0.51,Inactive
1373,Anna Springer,Account Officer,Finance,6.6,1284,0.11,Inactive
1374,Rachel Parr,Retail Clerk,Pharmaceuticals,11.5,168,0.36,Inactive
1375,Gordon Clarkson,Warehouse Worker,IT and Development,8.9,1654,0.19,Inactive
1376,Gabrielle Bond,National Sales Manager,Healthcare,23.5,853,0.36,Active
1377,Anthony Thomson,Shop Foreman,Corporate training,12.3,1881,0.57,Active
1378,Warren Reid,Construction Worker,Construction,7.8,383,0.47,Inactive
1379,Jessica Skinner,Senior .NET Developer,Retail,10.9,1110,0.33,Inactive
1380,Abigail Ross,News Producer,Finance,20.3,1380,0.5,Inactive
1381,Jan Skinner,Radiologist,Healthcare,8.1,1759,0.18,Inactive
1382,Irene MacDonald,Medical Scribe,Hospitality,19.6,1347,0.17,Inactive
1383,Ava White,Senior Machine Learning Engineer,Travel & Tourism,23.1,963,0.2,Active
1384,Sebastian Paige,Lead Product Marketing Writer,Educator & Education,19.1,1248,0.24,Active
1385,Lily Paige,Healthcare Administrator,Facilities,6.1,110,0.17,Inactive
1386,Julia Churchill,Demand Generation Manager,Human Resources (HR),8.0,1297,0.34,Active
1387,Carolyn Kelly,Bursar,IT and Development,6.0,1814,0.46,Active
1388,Tim Wilkins,Partnership Manager,Hospitality,19.4,1141,0.18,Inactive
1389,Alan Dowd,Leasing Consultant,Accounting,15.2,1034,0.3,Inactive
1390,Blake Springer,Instructional Designer,Facilities,21.3,1845,0.35,Active
1391,Samantha Knox,Beauty Salon Manager,Human Resources (HR),24.8,1454,0.17,Active
1392,Karen Randall,Assistant Controller,Engineering,9.3,463,0.38,Active
1393,Karen Sharp,Driver,Retail,19.6,230,0.36,Active
1394,Simon Cameron,Pathologist,Facilities,12.0,733,0.59,Inactive
1395,Maria Hunter,Design Operations Manager,Facilities,14.2,1938,0.2,Active
1396,Olivia Ince,Senior Ruby Developer,Customer service,9.6,260,0.3,Inactive
1397,Luke Lewis,Market Research Analyst,Marketing,16.7,1664,0.47,Inactive
1398,Olivia Roberts,Executive Pastor,Administrative,12.4,1393,0.27,Inactive
1399,Eric McLean,Cardiologist,Media,19.2,168,0.18,Inactive
1400,Dan Cameron,Mechanic,Real estate,14.2,324,0.32,Inactive
1401,Neil Ince,Hospital Social Worker,Public Relations (PR),14.4,1676,0.16,Inactive
1402,Benjamin Ferguson,External Auditor,Corporate training,15.4,1707,0.54,Active
1403,Keith Hunter,Senior Operations Engineer,Human Resources (HR),19.2,200,0.49,Active
1404,John Lyman,Accounting Intern,Public Relations (PR),23.5,1918,0.58,Active
1405,Tracey Scott,Technical Training Manager,Logistics,15.5,265,0.32,Active
1406,Steven Payne,AI Ethics Researcher,IT and Development,16.1,765,0.24,Active
1407,Mary Hunter,Restaurant Assistant Manager,Facilities,23.6,600,0.55,Inactive
1408,Felicity Berry,Beauty Advisor,Facilities,13.5,1010,0.13,Active
1409,Alan Sanderson,Web Designer,Real estate,8.7,965,0.41,Active
1410,Audrey Paige,Medical Technician,Engineering,21.5,140,0.41,Active
1411,Molly Clark,Enterprise Architect,Corporate training,9.8,1153,0.59,Inactive
1412,Caroline Hunter,Dishwasher,Legal,23.2,1971,0.53,Active
1413,Simon Abraham,Staff Writer,Retail,8.6,1291,0.21,Active
1414,Phil Alsop,Library Assistant,Corporate training,21.8,580,0.48,Inactive
1415,Irene Ball,Game Warden,Legal,12.0,241,0.5,Active
1416,Jasmine Taylor,Sales Operations,Sales,13.9,433,0.49,Inactive
1417,Connor Ross,Payroll Administrator,Human Resources (HR),11.0,1892,0.15,Active
1418,Felicity Mathis,Epidemiologist,Accounting,12.9,1633,0.54,Inactive
1419,Eric Scott,Training Administrator,Logistics,23.6,1663,0.39,Active
1420,Max Clarkson,Architect,Design,8.4,1521,0.55,Active
1421,Steven Mills,Senior Software Engineer,Healthcare,8.5,323,0.12,Active
1422,Deirdre Jackson,Senior .NET Developer,Corporate training,23.5,439,0.13,Inactive
1423,Keith Chapman,Logistics Administrator,Sales,5.2,1581,0.45,Inactive
1424,John Gill,Police Officer,Administrative,12.8,1736,0.12,Active
1425,Melanie Ferguson,School Nurse,Customer service,12.5,370,0.31,Inactive
1426,Sam White,Chief Marketing Officer (CMO),Design,19.3,1638,0.28,Inactive
1427,Warren Hamilton,Forensic Psychologist,Construction,5.3,1432,0.5,Inactive
1428,Steven Hardacre,Tax Manager,Engineering,25.0,1056,0.59,Inactive
1429,Victor Forsyth,VP of Finance,Design,16.1,703,0.26,Inactive
1430,Alexandra Hardacre,ESL teacher,Legal,5.0,1496,0.2,Inactive
1431,Alison Powell,Corporate Recruiter,Healthcare,12.7,1832,0.56,Inactive
1432,Joseph Walsh,General Manager,Hospitality,8.6,1466,0.4,Active
1433,Maria Dyer,Sterile Processing Technician,Facilities,8.1,1844,0.18,Active
1434,Stephanie Hardacre,Senior iOS Engineer,Construction,12.8,1179,0.55,Inactive
1435,Yvonne Campbell,IT Help Desk Technician,Legal,13.5,234,0.51,Inactive
1436,Carol Metcalfe,Chiropractor,Accounting,18.6,735,0.14,Inactive
1437,Jennifer Ball,Marketing Manager,Healthcare,6.5,1433,0.4,Inactive
1438,Thomas Carr,Validation Engineer,Retail,14.9,1798,0.36,Active
1439,Oliver Nash,Practice Manager,Hospitality,17.9,1284,0.15,Active
1440,Steven Lambert,Beauty Advisor,Travel & Tourism,11.4,1541,0.43,Active
1441,Caroline Miller,Butler,Engineering,6.4,1836,0.24,Inactive
1442,Eric Baker,Mental Health Technician,Pharmaceuticals,20.7,1652,0.4,Active
1443,Sarah Hughes,Program Manager,Corporate training,21.6,949,0.15,Inactive
1444,Luke Springer,Project Engineer,Travel & Tourism,7.3,1189,0.25,Active
1445,Abigail Lewis,Airline Pilot,Corporate training,17.8,1338,0.56,Active
1446,Thomas Hardacre,Night Auditor,Construction,23.0,1879,0.54,Inactive
1447,Theresa Skinner,Pastry Chef,Educator & Education,17.0,994,0.59,Inactive
1448,Melanie Graham,Portfolio Manager,Corporate training,9.0,686,0.22,Active
1449,Elizabeth Kelly,Content Strategist,Administrative,13.6,283,0.5,Inactive
1450,Joe Walker,Security Engineer,Marketing,14.5,147,0.23,Inactive
1451,Joe Hardacre,Unit Secretary,Human Resources (HR),12.8,1319,0.28,Active
1452,Zoe Scott,Care Coordinator,Pharmaceuticals,15.0,521,0.46,Active
1453,Mary Fisher,Substitute Teacher,Real estate,11.2,1896,0.48,Inactive
1454,Anthony Cameron,Loan Processor,Engineering,13.5,1546,0.19,Active
1455,Zoe Manning,Unit Clerk,Accounting,15.7,859,0.31,Inactive
1456,Zoe Pullman,Chef de Partie,Public Relations (PR),17.5,1788,0.24,Inactive
1457,Deirdre Thomson,Patient Service Representative,Construction,15.8,254,0.31,Active
1458,Claire Anderson,Painter,Facilities,10.8,1621,0.56,Inactive
1459,Amy Hemmings,Film Director,Marketing,21.9,1417,0.26,Active
1460,Stewart Davies,Orthodontist,Public Relations (PR),22.1,1598,0.47,Active
1461,Sebastian Ogden,Resident Assistant,Marketing,7.8,1230,0.29,Active
1462,Dylan Clark,Intake Coordinator,Sales,12.6,1468,0.47,Active
1463,Sarah Buckland,Product Engineer,Customer service,15.5,156,0.17,Inactive
1464,Colin Quinn,Commercial Contracts Attorney,Human Resources (HR),16.6,1945,0.15,Inactive
1465,Lily Davidson,Investment Analyst,IT and Development,24.8,759,0.55,Active
1466,David Fisher,Athletic Director,Hospitality,13.4,777,0.39,Inactive
1467,Cameron Bond,Demand Generation Manager,Real estate,21.9,1037,0.33,Active
1468,Colin Avery,Customer Service Manager,Hospitality,10.2,1980,0.48,Inactive
1469,Austin Baker,Nurse Manager,Construction,8.3,1885,0.26,Inactive
1470,Ryan Cornish,Senior Java Developer,Design,8.3,1799,0.17,Inactive
1471,Diane Newman,Pharmacist,Pharmaceuticals,12.7,1727,0.33,Active
1472,Faith Alsop,City Carrier Assistant,Healthcare,22.6,1123,0.11,Active
1473,Una Hughes,Administrative Coordinator,Media,24.2,1244,0.44,Active
1474,Benjamin Anderson,Android Engineer,Pharmaceuticals,13.3,532,0.35,Active
1475,Jack Reid,Safety Manager,Corporate training,8.2,1917,0.36,Active
1476,Lauren Nolan,Painter,Healthcare,7.2,1435,0.22,Active
1477,Kimberly Miller,Forensic Pathologist,IT and Development,17.0,1598,0.21,Inactive
1478,Julian Henderson,Training Facilitator,Public Relations (PR),6.5,354,0.56,Inactive
1479,Boris Tucker,Credit Analyst,Law enforcement / Security,10.2,627,0.52,Active
1480,Pippa Rutherford,PR Executive,IT and Development,24.7,961,0.26,Active
1481,Grace Ogden,Business Manager,Sales,8.6,942,0.32,Inactive
1482,Rose Manning,Veterinary Assistant,Travel & Tourism,19.6,1109,0.58,Inactive
1483,Diane Abraham,Press Operator,Educator & Education,23.3,237,0.35,Inactive
1484,Dominic Roberts,Production Assistant,Sales,5.0,1587,0.2,Inactive
1485,Oliver Hudson,Customer Service Trainer,Customer service,13.3,141,0.5,Active
1486,Amelia Hardacre,Head of Finance,Public Relations (PR),15.3,1584,0.36,Active
1487,James Gibson,Stage Manager,Law enforcement / Security,24.8,166,0.1,Active
1488,Ruth Churchill,Pastry Chef,Media,8.5,873,0.29,Active
1489,Joshua Morgan,Probation Officer,Retail,17.0,1299,0.22,Inactive
1490,Justin Underwood,Speech Pathologist,Administrative,13.5,436,0.47,Active
1491,Julian Rees,Teacher,Travel & Tourism,16.3,1681,0.21,Active
1492,Joe MacLeod,Casting Director,Media,20.1,1236,0.16,Inactive
1493,Alison Murray,Marketing Specialist,Corporate training,10.1,1963,0.25,Active
1494,Wendy McLean,Enterprise Architect,Facilities,7.6,813,0.49,Active
1495,Joshua Marshall,Fleet Manager,Facilities,9.7,1060,0.26,Inactive
1496,Austin Smith,System Security Engineer,Legal,5.3,1548,0.58,Inactive
1497,Kevin Lee,Financial Adviser,Law enforcement / Security,20.6,1697,0.35,Active
1498,Mary Powell,Forensic Psychologist,Healthcare,16.4,831,0.38,Active
1499,Joshua King,Supply Chain Manager,Corporate training,8.0,1012,0.1,Active
1500,Matt Buckland,Senior .NET Developer,Sales,22.8,1927,0.45,Inactive
1501,Owen Hodges,Solution architect,Finance,9.2,1357,0.13,Active
1502,Neil Clarkson,Payroll Accountant,Customer service,11.3,195,0.23,Active
1503,Thomas McLean,Forensic Psychologist,Public Relations (PR),8.0,1948,0.49,Active
1504,Kevin Duncan,Executive Chef,Law enforcement / Security,21.2,1616,0.27,Inactive
1505,Benjamin Miller,Video Editor,Construction,10.7,644,0.49,Inactive
1506,Leah Ogden,Property Manager,Real estate,11.2,1546,0.35,Active
1507,Peter Anderson,Human Resources (HR) Manager,Facilities,23.0,1848,0.18,Inactive
1508,Kevin Carr,Retail Manager,Pharmaceuticals,9.4,759,0.56,Active
1509,Lillian McLean,Web Editor,Hospitality,18.9,1562,0.15,Inactive
1510,Joanne Abraham,Project Engineer,Healthcare,10.3,417,0.33,Active
1511,Mary Piper,Library Assistant,Logistics,22.8,1823,0.28,Active
1512,Paul Scott,Talent Acquisition Consultant,Legal,10.8,708,0.52,Inactive
1513,Gabrielle Hunter,Project Administrator,Real estate,11.7,1063,0.48,Active
1514,Jasmine Fisher,Driver,Design,8.1,271,0.55,Inactive
1515,Jane Hodges,Director of Demand Generation,Construction,10.4,300,0.46,Inactive
1516,Ruth Hamilton,Security Guard,Pharmaceuticals,21.0,817,0.25,Active
1517,Audrey Burgess,People Operations Specialist,Retail,24.8,642,0.18,Inactive
1518,Bella Rampling,Senior Designer,Finance,22.2,1407,0.34,Active
1519,Matt Jones,Appliance Repair Service Technician,Construction,11.7,606,0.5,Active
1520,Dan Howard,Senior Frontend Engineer,Media,20.2,1460,0.1,Active
1521,Diane Davidson,Shift Leader,IT and Development,22.2,1809,0.24,Active
1522,Isaac Forsyth,Administrative Assistant,Corporate training,15.1,1342,0.41,Inactive
1523,Leah Howard,Personal Trainer,Healthcare,15.7,1713,0.19,Active
1524,Zoe Turner,Cleaner,Production,22.5,988,0.21,Inactive
1525,Anna Sanderson,AI Operations Manager,Media,9.2,1630,0.1,Inactive
1526,Hannah Blake,Lead Product Marketing Writer,Facilities,5.7,1438,0.17,Active
1527,Austin Wright,Staffing Specialist,Legal,6.0,303,0.29,Active
1528,Stewart Tucker,Tax Accountant,Retail,9.2,1902,0.5,Inactive
1529,Wanda Black,Photographer,Travel & Tourism,21.6,1754,0.19,Inactive
1530,Sebastian Walsh,Senior People Operations Manager,Production,21.7,431,0.19,Inactive
1531,Boris Clarkson,Advertising Account Executive,Customer service,9.4,963,0.24,Inactive
1532,Blake Fraser,HRIS Administrator,Corporate training,24.2,1042,0.43,Active
1533,Ruth Churchill,Registrar,Travel & Tourism,13.9,1794,0.53,Active
1534,Neil Oliver,Financial Accountant,IT and Development,10.4,1379,0.59,Active
1535,Luke Langdon,Communications Specialist,Law enforcement / Security,21.6,813,0.41,Inactive
1536,Isaac Walsh,Mobile Developer,Logistics,5.7,566,0.54,Active
1537,Gabrielle McDonald,Help Desk Specialist,Administrative,21.7,1424,0.51,Inactive
1538,Diana Russell,Scrum Master,Human Resources (HR),15.2,1329,0.49,Inactive
1539,John Pullman,Events Marketing Manager,Legal,7.9,1777,0.45,Inactive
1540,Angela Ball,Mail Carrier,Engineering,20.3,1529,0.52,Inactive
1541,Edward Abraham,Community Health Worker,Finance,5.0,163,0.52,Inactive
1542,Lily Terry,Food Scientist,Logistics,8.7,1767,0.3,Inactive
1543,Nathan Reid,Senior iOS Engineer,Administrative,23.2,297,0.2,Active
1544,Emma Young,Junior Financial Analyst,Public Relations (PR),7.0,470,0.36,Inactive
1545,Ryan Mackenzie,Senior Learning and Development Manager,Public Relations (PR),14.0,1927,0.53,Inactive
1546,Peter Nash,Hotel HR Manager,Production,10.9,1411,0.43,Active
1547,Christopher James,Associate Product Manager,Administrative,6.2,892,0.24,Active
1548,Stephanie Duncan,ER Tech,Marketing,15.4,872,0.47,Active
1549,Abigail Short,COO,Human Resources (HR),18.0,1871,0.43,Active
1550,Benjamin Hill,Psychiatric Technician,Real estate,13.6,514,0.19,Active
1551,Vanessa Lyman,Sales Operations Associate,Healthcare,21.4,723,0.52,Active
1552,Leonard Burgess,Copy Editor,Customer service,15.1,184,0.4,Inactive
1553,Bella Churchill,Pastry Chef,Pharmaceuticals,8.6,695,0.21,Active
1554,Jennifer Bond,Biologist,Accounting,18.1,366,0.4,Active
1555,Nicola White,National Account Manager,Real estate,22.4,382,0.24,Active
1556,Owen Langdon,Appointment Setter,Retail,11.3,1328,0.37,Inactive
1557,Adam Randall,Junior Account Manager,Travel & Tourism,18.8,1135,0.51,Inactive
1558,Joe Kerr,HR Recruiter,Production,23.5,1639,0.2,Inactive
1559,Sean Hunter,Executive Administrative Assistant,IT and Development,15.1,313,0.28,Active
1560,Carolyn Harris,Software Product Manager,Sales,14.0,764,0.53,Inactive
1561,Amy Edmunds,Cook,Law enforcement / Security,5.3,1876,0.15,Active
1562,Molly Mackenzie,Personal Assistant to CEO,Logistics,11.7,1261,0.4,Active
1563,Julian Ellison,Brand Manager,Public Relations (PR),6.2,917,0.36,Inactive
1564,Piers Mills,Account Management Director,Educator & Education,7.7,655,0.23,Inactive
1565,Samantha Hill,Zoologist,Engineering,5.8,1224,0.55,Inactive
1566,Grace Manning,Interior Designer,Retail,8.7,845,0.45,Inactive
1567,Julian Terry,Car Salesman,Travel & Tourism,13.7,827,0.42,Active
1568,Lillian Davies,Production Worker,Facilities,17.1,609,0.5,Inactive
1569,Kevin Lewis,Clinical Pharmacist,Facilities,20.0,1113,0.15,Inactive
1570,Hannah Roberts,Lineman,Travel & Tourism,15.7,742,0.51,Active
1571,William Buckland,District Manager,Human Resources (HR),15.3,557,0.3,Inactive
1572,Charles Newman,Cyber Security Specialist,Production,19.9,211,0.32,Active
1573,Vanessa Paige,System Security Engineer,Real estate,15.4,684,0.29,Active
1574,Ella McGrath,Health Information Technician,IT and Development,6.6,737,0.26,Inactive
1575,Stephanie Buckland,Recruiting Coordinator,Public Relations (PR),14.9,1904,0.41,Active
1576,Evan Ellison,Safety Manager,Logistics,5.6,652,0.24,Inactive
1577,Dominic Butler,NICU Nurse,Marketing,14.6,1785,0.16,Active
1578,Natalie Langdon,Team Leader,IT and Development,10.6,1765,0.23,Active
1579,Jack Marshall,Produce Clerk,Customer service,9.5,1797,0.38,Inactive
1580,Carol Graham,Appointment Setter,Accounting,15.0,368,0.46,Inactive
1581,Simon Mitchell,Payroll Administrator,Travel & Tourism,9.0,129,0.52,Active
1582,Rachel Forsyth,Journalist,Public Relations (PR),9.5,1293,0.16,Inactive
1583,Michael Walsh,Senior Learning and Development Manager,Engineering,15.0,734,0.31,Inactive
1584,Melanie Chapman,Operations Manager,Facilities,20.1,202,0.36,Active
1585,Katherine Henderson,Account Management Manager,Engineering,13.8,1841,0.47,Inactive
1586,Heather Duncan,Grant Writer,Customer service,21.5,1388,0.24,Inactive
1587,Carolyn Ince,Insurance Broker,Logistics,6.7,1968,0.39,Inactive
1588,Megan Paige,Carpenter,Public Relations (PR),9.1,891,0.13,Inactive
1589,Harry McLean,VP of Finance,Design,13.0,1996,0.2,Inactive
1590,Una Mackay,Construction Superintendent,Human Resources (HR),23.2,1156,0.58,Active
1591,Nathan Paterson,Restaurant Manager,Public Relations (PR),6.4,1940,0.15,Inactive
1592,Angela Dowd,Multimedia Intern,Retail,14.7,257,0.14,Active
1593,Audrey McGrath,Copy Editor,Corporate training,19.9,1940,0.27,Active
1594,Andrea McGrath,Legal,Law enforcement / Security,5.3,1965,0.13,Inactive
1595,Caroline Kerr,Instructional Designer,Engineering,12.7,629,0.44,Inactive
1596,Edward Newman,Program Assistant,Educator & Education,18.3,1487,0.3,Inactive
1597,Thomas Harris,Bridal Stylist,Facilities,24.9,1415,0.29,Inactive
1598,Cameron Cornish,Economist,Construction,7.0,1329,0.47,Active
1599,Joshua Fisher,Public Relations (PR) Director,Hospitality,21.4,134,0.13,Active
1600,Grace Arnold,Assembler,Healthcare,17.4,489,0.36,Inactive
1601,Deirdre Hardacre,Chief Medical Officer,Finance,12.0,1494,0.15,Active
1602,Steven Morgan,Research Assistant,Logistics,9.6,694,0.3,Active
1603,Adam Rees,Busser,Educator & Education,15.7,1994,0.15,Inactive
1604,Lily Hill,Software Engineer,Human Resources (HR),16.7,525,0.27,Inactive
1605,Wanda Henderson,Account Management Director,Marketing,7.4,1109,0.3,Active
1606,Lauren Lawrence,System Administrator,Design,16.3,1463,0.39,Inactive
1607,Karen Rees,Tire Technician,Customer service,6.8,556,0.58,Active
1608,Jennifer Roberts,Nuclear engineer,Hospitality,12.3,383,0.38,Inactive
1609,Melanie Robertson,Credit Analyst,Administrative,22.0,681,0.2,Active
1610,Felicity Dowd,Documentation Specialist,Design,17.1,200,0.23,Active
1611,Peter Taylor,.Net Developer,Law enforcement / Security,13.1,657,0.31,Active
1612,Austin Hill,Landscaper,Design,20.9,1009,0.18,Active
1613,Stephanie Powell,Recruiting Coordinator,Travel & Tourism,24.1,1322,0.51,Active
1614,Amanda Sharp,Learning and Development (L&D) Manager,Customer service,13.9,107,0.58,Active
1615,Lucas Taylor,Guest Relations Manager,Administrative,22.3,1327,0.46,Inactive
1616,Liam Robertson,Driver,Real estate,24.1,1369,0.57,Inactive
1617,Austin Blake,Design Engineer,Human Resources (HR),15.6,436,0.5,Inactive
1618,Ryan Rutherford,Sales Support Specialist,Construction,7.4,539,0.58,Active
1619,Liam James,Shipping Manager,Logistics,21.9,121,0.22,Active
1620,Wanda Mackenzie,Pest Control Technician,Legal,20.7,1406,0.27,Active
1621,Sophie Paterson,Marketing Strategist,Legal,21.6,1644,0.3,Active
1622,Carol Rees,Outbound Program Specialist,Pharmaceuticals,7.9,1060,0.34,Inactive
1623,Emily Kelly,Sushi Chef,Hospitality,18.9,1239,0.58,Active
1624,Lisa Quinn,Business Development Manager,Travel & Tourism,7.8,1507,0.55,Active
1625,David Wilkins,Creative Assistant,Pharmaceuticals,21.5,1116,0.11,Inactive
1626,Lily Ross,Sales Trainer,Logistics,7.1,1583,0.22,Active
1627,Angela Lewis,Enterprise Architect,Engineering,7.0,211,0.45,Inactive
1628,Christian Forsyth,Senior IT Administrator,Public Relations (PR),6.9,1147,0.39,Active
1629,Christopher Campbell,Budget Analyst,Travel & Tourism,12.5,1399,0.28,Inactive
1630,Matt Vance,Service Writer,Customer service,12.8,136,0.12,Inactive
1631,Austin Buckland,Chef de Partie,Pharmaceuticals,21.9,1541,0.17,Active
1632,Brian Hill,AI Research Scientist,Design,22.8,638,0.54,Active
1633,Jessica Mathis,Public Relations Assistant,Finance,11.5,697,0.44,Inactive
1634,Karen McDonald,Visual Merchandiser,Finance,23.7,385,0.5,Active
1635,Gordon Taylor,Managing Director,Healthcare,11.6,1717,0.29,Active
1636,Bella Peters,Editor,Human Resources (HR),22.0,400,0.41,Active
1637,Lisa Ross,Senior Designer,Customer service,19.8,1625,0.49,Inactive
1638,Charles Davies,Baker,Public Relations (PR),23.5,1251,0.21,Inactive
